STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
MN,Minnesota,34844,32498,31369,31600,31192
CO,Colorado,21225,20980,27834,30952,31196
NE,Nebraska,30656,29625,31151,31364,31205
TX,Texas,21442,24009,28118,32334,31247
NH,New Hampshire,35147,34828,33111,33055,31268
VA,Virginia,29122,28578,31894,32353,31307
GA,Georgia,11110,13368,23456,28292,31353
MI,Michigan,36459,34951,36079,33118,31407
KS,Kansas,42281,38816,36252,35471,31486
MO,Missouri,18822,21826,26992,31137,31519
OR,Oregon,26896,26038,31615,31313,31571
KY,Kentucky,25637,27205,30125,31448,31659
TN,Tennessee,24595,26137,29862,32213,32043
AL,Alabama,28350,27814,31223,31704,32113
KS,Kansas,35108,34732,35935,33690,32179
TN,Tennessee,28656,27888,31115,32330,32199
LA,Louisiana,32168,30722,31435,31594,32250
AK,Alaska,19528,26751,30711,31275,32255
SC,South Carolina,30148,32170,34068,33140,32294
LA,Louisiana,33343,33274,35434,33984,32350
TX,Texas,37592,34671,36602,36273,32522
MD,Maryland,30623,30236,30674,32618,32531
WV,West Virginia,50679,43032,37710,36743,32567
OH,Ohio,30592,30230,32641,33225,32653
CA,California,21661,27598,33828,34895,32730
TN,Tennessee,24235,24344,28400,31809,32870
TN,Tennessee,32896,31972,34895,35021,32902
IL,Illinois,37502,36397,36616,35547,32915
IN,Indiana,26138,24960,30043,33478,32918
WA,Washington,15965,20146,25953,29872,32977
WV,West Virginia,37665,34693,34453,35480,32977
TX,Texas,30781,31102,35604,35710,32980
MO,Missouri,29925,31107,32960,33381,32984
NC,North Carolina,23417,25520,29334,33090,32986
AL,Alabama,28050,27595,29605,32899,33009
IN,Indiana,33156,31913,32500,33503,33011
AR,Arkansas,26819,26115,30353,32923,33040
AL,Alabama,30170,31513,34803,34339,33073
IN,Indiana,30419,29797,31705,32428,33147
GA,Georgia,11684,16250,24757,28298,33163
IN,Indiana,31545,30974,33866,33224,33190
MS,Mississippi,28164,29996,34274,34707,33208
GA,Georgia,11652,14432,22983,29431,33216
IL,Illinois,39114,35688,35503,34978,33244
ND,North Dakota,25177,23700,25303,27471,33291
MD,Maryland,23143,27035,29772,33066,33293
IN,Indiana,27836,27533,29820,31648,33381
VA,Virginia,31268,31703,38305,33164,33413
IA,Iowa,29669,30001,32052,33309,33414
OK,Oklahoma,26601,29216,32080,34273,33458
VA,Virginia,,,33740,32420,33458
GA,Georgia,10762,14573,21016,29966,33488
IA,Iowa,43106,38687,38052,35862,33555
VA,Virginia,23270,24992,30496,33148,33596
IL,Illinois,43687,38080,38250,37069,33609
ND,North Dakota,23697,22832,22636,24199,33646
MI,Michigan,25102,26360,30484,32735,33673
MS,Mississippi,29296,30361,34993,37144,33752
FL,Florida,10887,14202,22863,30776,33764
VA,Virginia,35229,34496,35127,34872,33800
NY,New York,33733,33683,33342,35251,33814
FL,Florida,19039,23865,32209,34862,33976
MN,Minnesota,29311,29604,31712,33198,34010
