"GEO_ID","NAME","B19083_001M","B19083_001E",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Estimate!!Gini Index",
"1600000US3268585","Spring Valley CDP, Nevada","0.031","0.437",
"1600000US3271400","Sunrise Manor CDP, Nevada","0.025","0.429",
"1600000US3345140","Manchester city, New Hampshire","0.018","0.397",
"1600000US3350260","Nashua city, New Hampshire","0.025","0.418",
"1600000US3410000","Camden city, New Jersey","0.036","0.489",
"1600000US3413690","Clifton city, New Jersey","0.073","0.473",
"1600000US3419390","East Orange city, New Jersey","0.024","0.472",
"1600000US3421000","Elizabeth city, New Jersey","0.037","0.450",
"1600000US3436000","Jersey City city, New Jersey","0.014","0.477",
"1600000US3451000","Newark city, New Jersey","0.015","0.464",
"1600000US3456550","Passaic city, New Jersey","0.035","0.461",
"1600000US3457000","Paterson city, New Jersey","0.019","0.465",
"1600000US3473110","Toms River CDP, New Jersey","0.022","0.396",
"1600000US3474000","Trenton city, New Jersey","0.032","0.439",
"1600000US3474630","Union City city, New Jersey","0.026","0.428",
"1600000US3502000","Albuquerque city, New Mexico","0.013","0.453",
"1600000US3539380","Las Cruces city, New Mexico","0.024","0.454",
"1600000US3563460","Rio Rancho city, New Mexico","0.052","0.450",
"1600000US3570500","Santa Fe city, New Mexico","0.043","0.512",
"1600000US3601000","Albany city, New York","0.026","0.488",
"1600000US3611000","Buffalo city, New York","0.017","0.500",
"1600000US3615000","Cheektowaga CDP, New York","0.022","0.365",
"1600000US3649121","Mount Vernon city, New York","0.027","0.456",
"1600000US3650617","New Rochelle city, New York","0.037","0.525",
"1600000US3651000","New York city, New York","0.005","0.535",
"1600000US3663000","Rochester city, New York","0.021","0.481",
"1600000US3665508","Schenectady city, New York","0.023","0.422",
"1600000US3673000","Syracuse city, New York","0.028","0.546",
"1600000US3684000","Yonkers city, New York","0.018","0.439",
"1600000US3702140","Asheville city, North Carolina","0.023","0.431",
"1600000US3710740","Cary town, North Carolina","0.017","0.415",
"1600000US3712000","Charlotte city, North Carolina","0.014","0.501",
"1600000US3714100","Concord city, North Carolina","0.033","0.422",
"1600000US3719000","Durham city, North Carolina","0.023","0.470",
"1600000US3722920","Fayetteville city, North Carolina","0.021","0.436",
"1600000US3725580","Gastonia city, North Carolina","0.053","0.496",
"1600000US3728000","Greensboro city, North Carolina","0.026","0.494",
"1600000US3728080","Greenville city, North Carolina","0.044","0.557",
"1600000US3731400","High Point city, North Carolina","0.022","0.431",
"1600000US3734200","Jacksonville city, North Carolina","0.034","0.405",
"1600000US3755000","Raleigh city, North Carolina","0.013","0.464",
"1600000US3774440","Wilmington city, North Carolina","0.026","0.519",
"1600000US3775000","Winston-Salem city, North Carolina","0.024","0.500",
"1600000US3825700","Fargo city, North Dakota","0.021","0.444",
"1600000US3901000","Akron city, Ohio","0.016","0.454",
"1600000US3912000","Canton city, Ohio","0.028","0.446",
"1600000US3915000","Cincinnati city, Ohio","0.024","0.550",
"1600000US3916000","Cleveland city, Ohio","0.013","0.474",
"1600000US3918000","Columbus city, Ohio","0.010","0.456",
"1600000US3921000","Dayton city, Ohio","0.020","0.453",
"1600000US3944856","Lorain city, Ohio","0.022","0.447",
"1600000US3961000","Parma city, Ohio","0.040","0.389",
"1600000US3977000","Toledo city, Ohio","0.016","0.450",
"1600000US3988000","Youngstown city, Ohio","0.022","0.435",
"1600000US4009050","Broken Arrow city, Oklahoma","0.040","0.404",
"1600000US4023200","Edmond city, Oklahoma","0.038","0.463",
"1600000US4041850","Lawton city, Oklahoma","0.027","0.437",
"1600000US4052500","Norman city, Oklahoma","0.054","0.495",
"1600000US4055000","Oklahoma City city, Oklahoma","0.013","0.470",
"1600000US4075000","Tulsa city, Oklahoma","0.015","0.499",
"1600000US4105350","Beaverton city, Oregon","0.021","0.419",
"1600000US4105800","Bend city, Oregon","0.042","0.476",
"1600000US4123850","Eugene city, Oregon","0.027","0.496",
"1600000US4131250","Gresham city, Oregon","0.025","0.393",
"1600000US4134100","Hillsboro city, Oregon","0.029","0.378",
"1600000US4147000","Medford city, Oregon","0.022","0.439",
"1600000US4159000","Portland city, Oregon","0.013","0.492",
"1600000US4164900","Salem city, Oregon","0.030","0.453",
"1600000US4202000","Allentown city, Pennsylvania","0.023","0.446",
"1600000US4206088","Bethlehem city, Pennsylvania","0.031","0.446",
