,2019,2020,2021,2022
Brevard,"26,348,425","26,587,950","29,191,295","30,082,101"
Broward,"111,228,607","109,429,320","119,327,415","124,843,480"
Calhoun,"272,338","280,156","298,154","298,501"
Charlotte,"5,658,676","5,983,852","6,234,758","6,475,991"
Citrus,"4,147,491","4,208,962","4,459,685","4,615,213"
Clay,"5,504,610","5,477,250","5,843,169","6,039,501"
Collier,"20,295,361","20,239,264","22,806,993","23,677,213"
Columbia,"2,297,452","2,342,595","2,341,993","2,332,181"
DeSoto,"965,758","938,427","940,852","989,688"
Dixie,"270,140","294,032","280,787","272,996"
Duval,"67,313,811","67,932,413","72,733,497","76,660,524"
Escambia,"16,016,044","15,938,497","17,083,352","17,254,591"
Flagler,"2,866,294","2,978,154","3,212,415","3,379,603"
Franklin,"356,694","355,390","367,050","385,534"
Gadsden,"1,239,370","1,311,791","1,231,259","1,221,089"
Gilchrist,"348,400","402,834","378,142","360,989"
Glades,"318,548","310,787","297,174","315,403"
Gulf,"400,419","423,598","453,034","475,457"
Hamilton,"499,562","492,787","502,456","534,170"
Hardee,"956,907","955,355","945,501","1,005,913"
Hendry,"1,284,413","1,338,746","1,306,965","1,339,088"
Hernando,"4,294,368","4,358,989","4,659,852","4,845,571"
Highlands,"2,564,490","2,453,455","2,513,431","2,666,455"
Hillsborough,"94,479,878","95,989,002","104,157,662","109,736,885"
Holmes,"366,503","354,703","379,532","404,221"
Indian River,"6,828,186","6,937,570","7,895,295","7,901,043"
Jackson,"1,345,118","1,321,265","1,330,866","1,303,591"
Jefferson,"249,572","247,793","261,044","260,172"
Lafayette,"131,996","140,450","143,138","162,799"
Lake,"10,161,856","10,460,591","11,333,699","11,869,072"
Lee,"33,089,321","33,048,241","35,789,303","37,489,983"
Leon,"15,296,800","14,920,892","16,018,602","16,867,731"
Levy,"916,269","988,048","1,011,795","924,886"
Liberty,"261,273","299,632","291,037","269,186"
Madison,"409,761","426,723","427,944","453,130"
Manatee,"15,780,295","15,536,245","16,892,032","17,556,802"
Marion,"10,291,593","10,698,622","11,457,254","11,682,542"
Martin,"7,752,528","8,370,060","8,291,578","8,801,544"
Miami-Dade,"167,321,203","156,638,289","174,396,302","184,513,444"
Monroe,"5,207,848","4,966,713","5,570,690","5,914,857"
Nassau,"2,881,647","3,021,533","3,281,865","3,438,877"
Okaloosa,"12,423,158","12,790,604","13,777,331","14,067,684"
Okeechobee,"1,541,346","1,651,855","1,608,153","1,737,364"
Orange,"101,440,588","95,182,258","107,983,785","115,012,917"
Osceola,"11,594,422","11,253,659","12,407,249","13,276,516"
Palm Beach,"87,095,128","87,415,511","96,812,350","100,113,799"
Pasco,"13,722,020","13,964,893","15,458,249","16,064,543"
Pinellas,"50,823,168","51,176,720","54,741,510","57,077,799"
Polk,"27,402,843","28,204,116","29,827,560","30,523,799"
Putnam,"2,176,041","2,256,793","2,136,212","2,166,268"
St. Johns,"10,025,749","10,716,450","11,721,991","12,581,337"
St. Lucie,"9,712,946","10,073,193","10,832,170","11,200,099"
Santa Rosa,"4,832,487","4,945,621","5,247,338","5,510,110"
Sarasota,"21,887,546","22,266,839","23,340,358","24,245,059"
Seminole,"22,937,165","23,160,228","24,754,135","25,601,950"
Sumter,"3,769,715","3,829,805","4,464,154","4,810,632"
Suwannee,"1,112,200","1,143,005","1,196,097","1,349,099"
Taylor,"731,177","774,112","723,620","713,405"
Union,"306,648","314,859","334,794","345,288"
Volusia,"18,751,320","18,867,106","19,801,014","20,209,249"
Wakulla,"747,412","753,135","798,539","815,355"
Walton,"3,439,071","3,507,457","4,089,495","4,272,984"
Washington,"592,251","603,131","632,470","634,762"
,,,,
Georgia,"620,792,426","602,321,806","639,236,039","655,827,268"
Appling,"1,528,272","1,640,886","1,529,807","1,710,046"
Atkinson,"241,076","236,220","244,818","246,038"
Bacon,"354,973","354,173","344,963","371,667"
Baker,"72,715","68,161","72,292","64,455"
Baldwin,"1,397,628","1,298,799","1,392,897","1,427,458"
Banks,"413,171","383,754","413,690","503,310"
Barrow,"2,279,343","2,367,211","2,512,231","2,637,067"
Bartow,"5,034,135","4,979,678","5,151,554","5,358,344"
Ben Hill,"525,686","532,383","563,711","557,514"
Berrien,"415,631","366,478","388,533","424,323"
Bibb,"8,394,009","8,134,016","8,553,958","8,471,749"
Bleckley,"230,516","225,933","228,909","214,857"
Brantley,"253,108","261,030","270,982","294,971"
Brooks,"411,247","480,025","477,328","466,890"
Bryan,"1,052,900","1,059,905","1,257,540","1,234,851"
Bulloch,"2,542,393","2,408,658","2,557,107","2,657,323"
Burke,"2,995,508","3,148,430","2,843,910","2,797,824"
Butts,"675,694","687,564","723,889","756,994"
Calhoun,"124,062","124,201","121,609","104,182"
Camden,"1,868,832","1,854,407","1,909,791","1,898,086"
Candler,"276,886","277,143","291,115","288,962"
Carroll,"4,768,609","4,809,373","5,024,418","5,311,463"
Catoosa,"1,549,643","1,547,780","1,680,706","1,706,003"
Charlton,"197,623","195,230","202,548","205,916"
Chatham,"19,165,598","18,554,929","20,317,408","21,089,705"
Chattahoochee,"1,622,428","1,645,056","1,666,017","1,629,344"
Chattooga,"566,028","505,942","524,684","539,492"
Cherokee,"8,240,947","8,240,245","8,695,415","8,859,076"
Clarke,"7,907,202","7,547,997","7,895,037","7,927,966"
Clay,"73,985","86,750","76,307","70,000"
Clayton,"18,739,470","14,920,732","16,909,218","19,608,272"
Clinch,"229,401","234,564","208,170","208,030"
Cobb,"56,664,239","55,077,229","59,648,530","60,878,701"
Coffee,"1,554,935","1,520,290","1,596,452","1,645,634"
Colquitt,"1,461,475","1,509,813","1,522,294","1,502,550"
Columbia,"4,213,061","4,164,958","4,341,227","4,279,183"
Cook,"382,141","363,446","398,958","399,818"
Coweta,"5,012,320","5,006,633","5,299,342","5,312,725"
Crawford,"152,896","127,638","150,245","158,323"
Crisp,"871,311","875,971","934,835","938,077"
Dade,"406,009","393,815","414,036","439,507"
Dawson,"906,030","857,954","959,218","991,104"
Decatur,"818,728","846,699","907,245","928,092"
DeKalb,"41,785,889","41,012,324","43,219,120","44,206,311"
Dodge,"438,684","416,853","420,368","405,038"
Dooly,"407,175","393,338","383,411","371,694"
Dougherty,"4,550,741","4,513,071","4,767,478","4,850,153"
Douglas,"4,849,226","4,814,863","5,205,566","5,453,077"
Early,"492,928","504,938","510,506","498,268"
Echols,"42,989","42,298","42,017","40,087"
Effingham,"1,946,681","2,086,527","2,075,384","2,177,896"
Elbert,"631,050","641,974","656,611","711,424"
Emanuel,"671,844","682,397","689,818","709,568"
Evans,"399,614","395,330","389,857","396,326"
Fannin,"792,352","740,596","852,331","849,442"
Fayette,"5,423,860","5,400,316","5,627,565","5,766,885"
Floyd,"4,087,017","3,919,567","4,138,165","4,188,604"
Forsyth,"10,446,478","10,402,741","11,226,711","11,624,043"
Franklin,"914,079","841,263","919,569","1,076,417"
Fulton,"187,227,918","179,115,067","191,139,183","195,682,693"
Gilmer,"865,456","801,439","915,645","1,001,365"
Glascock,"33,618","35,354","33,329","33,378"
Glynn,"4,105,135","3,997,765","4,292,344","4,371,694"
Gordon,"2,287,865","2,160,163","2,376,402","2,502,149"
Grady,"614,278","639,563","646,439","632,160"
Greene,"765,385","738,340","853,681","813,025"
Gwinnett,"50,553,806","49,499,654","52,134,687","53,030,183"
