,2019,2020,2021,2022
Warren,"1,444,817","1,389,274","1,435,227","1,415,198"
Washington,"6,038,612","6,064,802","6,565,988","6,671,260"
Wayne,"332,527","344,263","342,745","376,701"
Weakley,"1,104,339","1,075,359","1,167,613","1,129,336"
White,"746,562","736,095","789,867","820,925"
Williamson,"24,203,065","24,590,929","27,285,472","28,843,963"
Wilson,"5,581,599","5,712,869","6,516,602","6,833,539"
,,,,
Texas,"1,802,912,796","1,772,185,609","1,873,473,351","1,924,007,472"
Anderson,"1,984,764","1,950,822","2,061,471","2,080,081"
Andrews,"2,988,219","2,695,398","2,893,035","2,703,487"
Angelina,"3,308,763","3,227,704","3,205,175","3,322,589"
Aransas,"675,778","682,532","709,181","731,431"
Archer,"276,978","283,611","278,296","283,399"
Armstrong,"49,052","53,653","45,019","43,599"
Atascosa,"3,223,730","2,642,755","2,600,999","2,621,346"
Austin,"1,405,384","1,412,914","1,594,863","1,644,744"
Bailey,"382,349","399,352","394,082","329,459"
Bandera,"395,871","367,504","382,993","391,445"
Bastrop,"2,433,723","2,538,981","2,660,865","2,842,297"
Baylor,"157,145","170,257","169,329","162,377"
Bee,"745,514","718,927","671,474","715,139"
Bell,"16,695,725","17,040,316","17,790,381","17,980,355"
Bexar,"106,525,108","105,083,799","109,873,970","115,265,382"
Blanco,"417,181","428,684","460,344","493,454"
Borden,"456,635","435,832","425,288","464,480"
Bosque,"563,932","559,872","582,543","606,269"
Bowie,"3,574,800","3,554,494","3,663,069","3,706,115"
Brazoria,"15,705,491","15,567,073","16,000,840","16,348,599"
Brazos,"10,292,537","10,275,883","10,967,202","11,495,568"
Brewster,"380,082","368,283","401,561","400,762"
Briscoe,"89,810","76,988","105,753","92,662"
Brooks,"288,476","273,370","276,603","262,147"
Brown,"1,440,268","1,391,302","1,404,986","1,401,067"
Burleson,"1,246,789","1,186,960","987,921","827,068"
Burnet,"1,678,304","1,744,173","1,847,466","1,911,392"
Caldwell,"919,625","971,576","1,001,968","1,033,608"
Calhoun,"3,294,444","3,163,594","3,413,281","3,508,866"
Callahan,"301,276","289,581","294,151","361,404"
Cameron,"11,200,319","10,912,927","11,660,469","12,032,752"
Camp,"344,516","351,760","363,241","396,199"
Carson,"973,509","904,813","934,179","907,787"
Cass,"859,173","920,829","973,179","999,944"
Castro,"648,670","670,246","665,325","516,273"
Chambers,"2,619,975","2,584,596","2,520,012","2,517,353"
Cherokee,"1,304,038","1,338,399","1,332,558","1,337,756"
Childress,"210,680","234,147","249,004","282,215"
Clay,"212,860","214,369","214,441","217,969"
Cochran,"208,413","214,637","236,805","180,558"
Coke,"93,063","97,423","180,908","194,838"
Coleman,"205,024","202,454","206,757","214,247"
Collin,"68,444,784","70,476,796","76,577,433","83,208,852"
Collingsworth,"76,500","78,711","80,778","73,519"
Colorado,"841,796","807,413","878,228","878,495"
Comal,"6,551,203","7,014,238","7,662,531","7,965,447"
Comanche,"413,996","437,590","409,489","429,900"
Concho,"106,863","121,890","128,745","184,092"
Cooke,"2,407,894","2,067,402","2,198,566","2,346,919"
Coryell,"1,643,834","1,624,028","1,674,493","1,660,310"
Cottle,"51,809","57,677","72,021","81,059"
Crane,"577,054","558,196","564,308","634,570"
Crockett,"621,653","639,022","581,604","479,913"
Crosby,"232,530","216,050","248,219","191,567"
Culberson,"2,390,403","2,587,895","2,502,908","2,288,356"
Dallam,"693,194","692,034","668,028","565,224"
Dallas,"269,858,811","263,514,185","283,517,706","299,773,355"
Dawson,"639,973","659,730","617,120","589,964"
Deaf Smith,"1,421,812","1,400,557","1,395,447","1,249,449"
Delta,"99,490","98,031","99,146","87,909"
Denton,"35,977,333","39,570,027","43,110,011","45,868,233"
DeWitt,"4,133,100","3,601,610","3,247,721","2,589,637"
Dickens,"92,187","89,695","87,256","88,159"
Dimmit,"3,777,621","2,961,148","2,335,686","2,125,196"
Donley,"116,990","121,823","127,764","110,541"
Duval,"337,742","313,686","311,965","309,646"
Eastland,"763,228","704,621","716,106","721,781"
Ector,"13,040,470","10,954,580","10,605,581","11,363,572"
Edwards,"72,203","83,703","81,602","79,523"
Ellis,"6,460,079","6,323,807","6,747,841","6,964,273"
El Paso,"32,479,335","32,452,763","34,342,853","34,763,020"
Erath,"1,591,549","1,586,180","1,539,039","1,613,999"
Falls,"376,777","387,176","379,447","383,430"
Fannin,"929,115","906,296","937,327","964,099"
Fayette,"1,609,695","1,570,167","1,687,071","1,616,234"
Fisher,"205,689","213,178","274,055","326,840"
Floyd,"340,861","270,693","354,875","240,399"
Foard,"51,554","92,153","98,521","96,296"
Fort Bend,"30,903,434","30,731,832","32,128,414","33,408,557"
Franklin,"381,245","371,492","398,642","446,746"
Freestone,"1,014,476","935,189","896,549","874,483"
Frio,"1,191,888","1,021,567","1,032,267","964,524"
Gaines,"1,970,767","1,852,877","1,650,797","1,413,581"
Galveston,"15,543,698","15,029,002","16,375,548","16,281,603"
Garza,"254,375","218,563","216,900","185,708"
Gillespie,"1,110,675","1,130,990","1,264,111","1,286,201"
Glasscock,"2,698,890","2,591,790","2,167,288","2,093,218"
Goliad,"304,494","261,821","313,469","268,571"
Gonzales,"2,855,651","2,561,002","2,515,478","2,269,355"
Gray,"1,014,355","970,265","941,727","936,442"
Grayson,"4,989,540","4,874,197","5,225,085","5,325,544"
Gregg,"7,871,211","7,266,983","7,498,579","7,885,905"
Grimes,"1,060,595","991,238","970,345","1,053,305"
Guadalupe,"7,461,635","7,731,101","9,131,528","9,590,455"
Hale,"1,260,937","1,271,060","1,265,889","1,160,738"
Hall,"71,604","70,363","100,413","65,719"
Hamilton,"245,912","260,461","253,639","257,654"
Hansford,"509,867","468,655","461,377","351,711"
Hardeman,"167,243","196,545","205,334","207,916"
Hardin,"1,344,442","1,272,534","1,346,913","1,357,119"
Harris,"382,109,887","375,075,182","394,061,459","402,792,333"
Harrison,"4,119,265","3,950,566","4,187,685","4,355,012"
Hartley,"721,081","696,176","674,293","534,332"
Haskell,"325,829","302,411","323,126","294,641"
Hays,"8,373,127","8,376,192","9,147,933","9,724,156"
Hemphill,"598,645","514,743","432,817","341,666"
Henderson,"1,805,752","1,827,000","1,807,130","1,835,540"
Hidalgo,"21,796,318","21,420,961","22,496,207","22,818,175"
Hill,"971,393","928,903","1,023,835","1,090,539"
Hockley,"1,781,458","1,525,418","1,465,320","1,300,445"
Hood,"2,456,371","2,240,051","2,341,039","2,420,953"
Hopkins,"1,652,835","1,567,457","1,593,423","1,706,381"
Houston,"918,588","905,611","892,800","873,777"
Howard,"5,804,240","5,801,877","6,138,825","5,849,258"
Hudspeth,"155,677","153,092","155,017","146,220"
Hunt,"4,619,204","4,385,264","4,662,152","5,065,001"
Hutchinson,"4,954,317","4,319,312","5,363,420","4,439,446"
Irion,"961,327","884,008","740,834","679,303"
Jack,"436,191","431,446","432,434","421,298"
Jackson,"732,964","628,645","609,941","547,675"
Jasper,"994,291","976,342","1,010,877","990,549"
Jeff Davis,"65,411","63,462","69,249","68,796"
Jefferson,"20,229,810","16,922,130","17,151,793","16,611,587"
Jim Hogg,"170,760","172,324","163,990","160,858"
Jim Wells,"1,858,616","1,381,980","1,447,662","1,474,235"
Johnson,"5,786,224","5,715,719","6,173,729","6,303,488"
Jones,"420,821","421,414","460,035","445,483"
Karnes,"6,918,802","5,860,580","5,435,354","4,796,419"
Kaufman,"3,828,234","3,919,313","4,370,944","4,631,701"
Kendall,"2,193,939","2,082,698","2,230,379","2,318,665"
Kenedy,"280,518","208,551","257,935","241,052"
Kent,"185,986","164,264","143,080","105,753"
Kerr,"2,136,148","2,102,837","2,229,509","2,289,090"
Kimble,"128,876","133,584","143,433","145,609"
King,"102,791","84,489","72,230","63,481"
Kinney,"110,270","115,035","112,049","112,401"
Kleberg,"1,102,546","1,053,283","1,100,625","1,101,754"
Knox,"141,465","144,694","193,799","224,920"
Lamar,"2,691,276","2,463,934","2,619,129","2,694,410"
Lamb,"722,705","698,256","695,023","605,093"
Lampasas,"494,716","502,050","502,181","521,561"
La Salle,"3,902,220","3,056,674","2,848,099","2,247,116"
Lavaca,"1,234,881","1,117,647","1,088,938","1,096,909"
Lee,"981,553","882,207","850,121","801,574"
Leon,"683,410","690,859","726,592","743,965"
Liberty,"2,207,024","2,104,876","2,211,592","2,223,527"
Limestone,"1,379,615","1,239,717","1,264,664","1,353,048"
Lipscomb,"528,271","492,847","473,738","407,380"
Live Oak,"1,499,868","1,263,609","1,275,352","1,277,802"
Llano,"741,181","749,329","775,374","776,794"
Loving,"6,201,671","6,409,372","6,124,965","5,423,583"
Lubbock,"13,921,923","13,984,899","14,375,597","14,606,518"
Lynn,"222,767","273,057","333,194","304,552"
McCulloch,"333,307","312,559","313,670","319,628"
McLennan,"12,702,957","12,238,992","12,938,861","13,355,996"
McMullen,"1,672,599","1,426,115","1,129,053","908,593"
Madison,"536,167","495,396","496,971","470,026"
Marion,"250,950","249,031","271,065","270,565"
Martin,"6,483,671","6,651,179","6,980,095","6,677,211"
Mason,"116,368","113,019","110,563","112,246"
Matagorda,"2,220,598","2,160,217","2,234,976","2,170,089"
Maverick,"1,689,225","1,598,548","1,720,668","1,808,257"
Medina,"1,089,689","1,062,259","1,092,037","1,096,891"
Menard,"47,716","50,729","49,106","46,861"
Midland,"27,184,269","24,889,946","24,100,116","23,980,249"
Milam,"621,368","587,936","621,263","612,757"
Mills,"208,657","212,195","209,892","252,785"
Mitchell,"315,297","299,504","278,516","236,682"
Montague,"704,030","624,031","638,498","608,269"
Montgomery,"30,915,742","31,179,821","33,025,538","35,006,940"
Moore,"2,434,421","1,993,227","2,787,023","2,590,813"
Morris,"559,131","506,313","555,747","589,952"
Motley,"28,464","33,888","26,468","26,355"
Nacogdoches,"2,416,992","2,449,643","2,579,650","2,671,272"
Navarro,"1,625,467","1,532,033","1,601,520","1,637,023"
Newton,"484,667","427,278","444,524","463,362"
Nolan,"918,961","888,264","963,294","909,100"
Nueces,"19,831,610","18,179,397","19,139,878","18,312,690"
Ochiltree,"996,265","827,524","839,197","698,434"
Oldham,"274,664","307,904","312,341","283,786"
Orange,"3,517,672","3,513,798","3,726,799","3,859,712"
Palo Pinto,"1,084,588","1,012,402","969,216","996,325"
Panola,"1,912,248","1,972,051","2,350,212","2,352,003"
Parker,"4,417,118","4,412,122","4,769,408","5,105,148"
Parmer,"917,101","955,330","966,899","876,318"
Pecos,"2,487,101","2,453,396","2,249,734","1,898,933"
Polk,"1,302,675","1,257,476","1,265,628","1,286,541"
Potter,"8,441,716","8,463,502","8,794,922","8,875,835"
Presidio,"221,572","222,481","237,012","224,332"
Rains,"202,775","214,673","214,071","222,077"
Randall,"3,981,046","4,080,649","4,233,095","4,229,413"
Reagan,"3,135,983","2,854,353","2,667,258","2,239,205"
Real,"73,701","79,376","82,875","89,264"
Red River,"272,971","288,791","303,390","306,516"
Reeves,"9,454,623","10,648,394","9,511,964","8,050,242"
Refugio,"337,764","304,792","295,983","340,204"
Roberts,"224,523","199,573","178,080","159,711"
Robertson,"2,030,428","2,079,896","2,179,914","2,202,531"
Rockwall,"4,501,712","4,484,612","4,721,808","4,939,265"
Runnels,"301,592","281,617","299,268","289,758"
Rusk,"2,413,857","2,422,683","2,434,736","2,363,178"
Sabine,"224,481","231,190","239,287","242,637"
San Augustine,"665,945","648,622","869,750","634,514"
San Jacinto,"359,004","339,459","340,529","334,986"
San Patricio,"2,512,063","3,167,697","2,947,104","2,722,849"
San Saba,"178,805","153,267","146,888","148,626"
Schleicher,"129,528","128,066","122,256","118,107"
Scurry,"1,634,250","1,481,074","1,455,255","1,327,482"
Shackelford,"261,523","238,604","255,154","265,462"
Shelby,"1,150,098","1,083,139","1,306,499","1,410,124"
Sherman,"444,891","395,995","460,129","259,091"
Smith,"11,421,754","11,144,056","11,615,626","12,000,949"
Somervell,"1,227,337","1,204,015","1,279,487","1,257,277"
Starr,"1,263,873","1,293,691","1,289,811","1,285,475"
Stephens,"409,925","380,254","354,692","339,718"
Sterling,"221,087","215,984","224,419","200,070"
Stonewall,"144,152","125,686","119,687","109,223"
Sutton,"288,989","246,483","221,051","189,108"
Swisher,"459,078","409,268","471,902","343,178"
Tarrant,"118,947,910","113,672,291","122,643,736","127,597,428"
Taylor,"6,704,709","6,643,635","6,819,466","7,087,583"
Terrell,"71,221","61,926","76,295","71,932"
Terry,"569,820","512,448","475,366","401,198"
Throckmorton,"66,942","60,664","96,797","62,810"
Titus,"1,850,016","1,703,846","1,908,874","2,084,581"
Tom Green,"6,128,907","6,203,351","6,355,372","6,499,206"
Travis,"122,982,943","125,596,454","140,011,391","150,752,659"
Trinity,"261,913","247,399","246,274","258,117"
Tyler,"406,985","419,527","437,247","467,877"
Upshur,"818,438","812,766","840,479","853,384"
Upton,"3,934,936","4,121,763","3,943,810","3,929,483"
Uvalde,"852,395","868,748","900,368","892,593"
Val Verde,"1,745,336","1,729,515","1,814,776","1,850,013"
Van Zandt,"1,173,469","1,204,803","1,237,019","1,289,175"
Victoria,"4,442,322","4,306,229","4,459,816","4,602,176"
Walker,"2,230,283","2,158,415","2,138,924","2,196,217"
Waller,"2,988,218","2,985,962","3,090,341","3,159,376"
Ward,"3,543,292","2,996,827","2,876,586","2,488,336"
Washington,"1,877,655","1,943,694","2,172,400","2,258,874"
Webb,"11,389,246","11,017,375","11,380,569","11,679,742"
Wharton,"1,875,933","1,785,250","1,863,270","1,826,651"
Wheeler,"517,522","473,461","420,330","324,267"
Wichita,"5,778,132","5,653,023","5,678,465","5,801,591"
Wilbarger,"778,044","716,030","706,050","757,113"
Willacy,"468,261","445,654","560,728","540,059"
Williamson,"23,971,336","25,581,336","27,428,636","29,305,284"
Wilson,"1,094,179","1,038,786","1,049,846","1,092,947"
Winkler,"1,585,536","1,604,449","1,405,712","1,225,985"
Wise,"3,013,732","2,819,382","3,003,769","3,105,224"
Wood,"1,431,142","1,463,372","1,461,700","1,456,214"
Yoakum,"1,903,919","1,706,516","1,437,762","1,316,435"
Young,"798,429","800,669","877,855","899,955"
Zapata,"635,999","554,736","597,645","590,581"
Zavala,"602,728","577,748","574,272","541,952"
,,,,
Utah,"192,698,684","194,753,700","209,975,165","213,898,311"
Beaver,"370,267","353,475","428,744","504,761"
Box Elder,"2,335,201","2,395,897","2,462,442","2,610,519"
Cache,"5,942,126","5,962,375","6,379,526","6,371,260"
Carbon,"1,099,917","1,145,823","1,060,616","967,164"
Daggett,"123,813","116,723","91,490","103,876"
Davis,"15,495,430","15,802,970","16,549,249","16,232,965"
Duchesne,"1,075,345","1,036,561","1,077,577","1,066,994"
Emery,"914,102","952,301","1,082,995","1,203,860"
Garfield,"273,096","265,355","303,921","347,748"
Grand,"658,759","615,047","660,479","673,728"
Iron,"1,906,080","1,935,440","2,060,385","2,211,325"
Juab,"498,977","513,331","616,048","684,092"
Kane,"360,363","376,284","432,351","417,970"
Millard,"857,335","875,059","903,018","963,314"
Morgan,"313,948","349,083","390,773","363,878"
Piute,"74,611","67,464","57,457","69,777"
Rich,"138,681","144,275","150,520","140,929"
Salt Lake,"101,001,575","100,538,997","109,311,585","110,953,294"
San Juan,"470,867","445,508","484,337","498,364"
Sanpete,"830,018","861,414","914,800","1,018,245"
Sevier,"1,127,974","1,146,397","1,155,947","1,239,529"
Summit,"3,618,764","3,541,393","4,229,844","4,363,032"
Tooele,"1,821,760","1,983,656","2,175,541","2,125,272"
Uintah,"1,719,688","1,633,276","1,645,488","1,772,587"
Utah,"29,611,528","30,961,139","33,412,370","34,604,155"
Wasatch,"1,139,902","1,116,261","1,259,299","1,267,180"
Washington,"6,886,456","7,219,195","7,853,248","7,944,998"
Wayne,"105,276","106,138","109,640","107,335"
Weber,"11,942,660","12,312,416","12,730,833","13,096,916"
,,,,
Vermont,"33,207,568","32,307,106","33,860,799","34,609,392"
Addison,"1,681,968","1,585,128","1,679,034","1,724,774"
Bennington,"1,717,922","1,631,016","1,721,101","1,742,201"
Caledonia,"1,134,810","1,140,410","1,174,147","1,171,143"
Chittenden,"11,793,311","11,334,932","12,250,896","12,699,864"
Essex,"144,208","136,394","139,307","141,811"
Franklin,"2,195,614","2,160,092","2,132,107","2,108,763"
Grand Isle,"203,826","186,002","201,697","211,193"
Lamoille,"1,150,198","1,104,955","1,190,386","1,213,884"
Orange,"818,744","824,215","818,787","832,385"
Orleans,"1,073,195","1,065,742","1,106,889","1,129,192"
Rutland,"2,598,667","2,511,587","2,614,060","2,645,533"
Washington,"3,748,276","3,678,466","3,764,941","3,868,214"
Windham,"2,316,695","2,293,886","2,310,556","2,329,838"
Windsor,"2,631,354","2,653,609","2,762,621","2,802,347"
,,,,
Virginia,"541,070,160","533,828,281","562,888,044","576,964,272"
Accomack,"1,809,143","1,782,085","1,869,689","1,750,550"
Amelia,"277,079","258,457","292,525","323,164"
Amherst,"797,968","757,303","804,626","813,435"
Appomattox,"298,683","293,255","323,214","335,803"
Arlington,"36,745,481","36,642,084","38,937,746","38,871,754"
Bath,"222,749","200,022","214,893","224,816"
Bedford,"2,009,252","1,914,555","2,054,042","2,040,196"
Bland,"212,301","200,824","191,771","189,716"
Botetourt,"1,289,445","1,248,685","1,325,388","1,375,303"
Brunswick,"821,212","875,922","811,102","786,598"
Buchanan,"1,012,672","891,075","974,706","1,071,412"
Buckingham,"521,953","545,941","487,764","475,903"
Caroline,"739,985","783,103","791,479","819,814"
Charles City,"225,185","224,602","219,303","225,948"
Charlotte,"260,818","257,902","268,849","277,497"
Chesterfield,"16,052,186","15,857,855","16,632,470","16,951,584"
Clarke,"465,575","430,930","454,544","456,723"
Craig,"100,943","98,765","111,950","111,043"
Culpeper,"1,854,934","1,822,085","1,915,932","1,960,780"
Cumberland,"145,424","128,706","151,937","170,421"
Dickenson,"466,468","476,417","540,117","560,013"
Essex,"371,472","355,225","355,043","349,375"
Fauquier,"2,822,180","2,818,946","2,947,763","2,967,634"
Floyd,"369,054","372,359","380,190","392,303"
Fluvanna,"913,003","804,534","815,125","894,789"
Franklin,"1,526,129","1,513,070","1,587,352","1,618,697"
Giles,"503,540","518,889","623,161","570,480"
Gloucester,"892,412","896,525","921,432","918,753"
Goochland,"2,779,608","2,967,752","3,200,573","3,069,526"
Grayson,"267,985","270,847","261,084","264,121"
Greene,"447,717","423,729","455,590","458,967"
Halifax,"1,200,356","1,125,233","1,119,669","1,136,989"
Hanover,"6,016,481","5,898,719","6,198,979","6,459,459"
Henrico,"30,500,513","29,024,077","30,906,150","32,073,153"
Highland,"70,089","60,283","67,593","75,022"
Isle of Wight,"1,383,875","1,311,167","1,301,032","1,313,076"
King and Queen,"141,753","147,021","153,812","139,116"
King George,"1,957,762","2,027,139","2,151,565","2,172,678"
King William,"537,734","514,093","530,549","530,227"
Lancaster,"435,215","431,764","444,588","452,906"
Lee,"382,405","394,518","384,280","376,911"
Loudoun,"29,573,439","28,724,761","31,763,949","33,771,834"
Louisa,"2,203,974","2,158,630","2,261,869","2,238,553"
Lunenburg,"237,911","235,365","233,863","230,025"
Madison,"341,040","343,520","349,290","363,273"
Mathews,"193,217","191,727","188,658","185,800"
Mecklenburg,"1,019,528","1,077,508","1,100,600","1,099,951"
Middlesex,"372,513","359,334","365,714","365,585"
Nelson,"503,489","491,519","536,595","563,612"
New Kent,"576,854","609,938","642,351","630,942"
Northampton,"472,520","500,871","443,533","395,919"
Northumberland,"447,573","422,833","403,725","383,097"
Nottoway,"529,279","485,267","507,870","552,648"
Orange,"1,174,100","1,121,822","1,114,530","1,045,916"
Page,"610,082","534,689","612,531","690,215"
Patrick,"398,483","370,012","375,966","375,171"
Powhatan,"821,000","809,566","829,678","835,209"
Prince Edward,"738,956","704,838","732,332","731,520"
Pulaski,"1,388,056","1,266,253","1,411,730","1,573,994"
Rappahannock,"285,677","275,607","297,817","305,139"
Richmond,"272,407","285,060","287,700","274,852"
Russell,"685,321","681,599","650,526","633,533"
Scott,"425,364","408,532","408,672","410,808"
Shenandoah,"1,774,235","1,671,367","1,729,675","1,801,065"
Smyth,"1,037,261","976,951","1,021,331","1,050,205"
Stafford,"5,745,261","6,000,830","6,362,130","6,447,173"
Surry,"1,155,021","1,135,621","1,091,108","1,224,350"
Sussex,"346,380","338,250","361,066","322,233"
Tazewell,"1,190,242","1,141,607","1,116,833","1,172,985"
Warren,"1,811,698","1,760,017","1,722,396","1,815,278"
Westmoreland,"478,117","492,396","465,424","439,101"
Wythe,"1,446,935","1,405,032","1,439,266","1,520,838"
Independent cities,,,,
Alexandria,"14,974,340","14,462,514","14,895,207","14,979,536"
Chesapeake,"10,523,558","10,680,640","11,007,366","11,218,526"
Hampton,"6,660,504","6,618,066","6,694,614","6,665,814"
Newport News,"13,627,777","13,669,923","14,533,311","15,339,116"
Norfolk,"19,200,787","18,962,549","20,103,020","20,534,141"
Portsmouth,"6,129,334","6,052,599","6,151,098","6,192,136"
Richmond,"23,522,992","23,630,347","24,590,280","25,350,816"
Roanoke,"7,079,474","7,007,938","7,465,819","7,617,071"
Suffolk,"3,882,219","3,935,576","4,083,173","4,083,418"
Virginia Beach,"22,335,512","22,084,798","23,102,181","23,245,091"
Combination areas2,,,,
Albemarle + Charlottesville,"11,879,525","11,469,466","12,539,076","12,901,635"
Alleghany + Covington,"896,654","823,816","866,302","865,140"
"Augusta, Staunton + Waynesboro","5,150,015","4,919,741","5,140,168","5,295,475"
Campbell + Lynchburg,"7,389,135","7,099,334","7,282,517","7,301,812"
Carroll + Galax,"942,633","911,112","916,999","924,084"
"Dinwiddie, Colonial Heights + Petersburg","2,832,870","2,774,879","2,826,770","2,914,662"
"Fairfax, Fairfax City + Falls Church","125,609,583","125,345,421","133,352,801","137,925,802"
Frederick + Winchester,"6,745,498","6,832,732","7,216,217","7,220,706"
Greensville + Emporia,"1,385,945","1,390,115","1,503,597","1,574,256"
Henry + Martinsville,"2,201,421","2,144,017","2,213,307","2,214,765"
James City + Williamsburg,"5,207,826","5,210,669","5,515,671","5,769,225"
Montgomery + Radford,"5,374,176","5,267,213","5,564,733","5,777,746"
Pittsylvania + Danville,"3,463,846","3,312,560","3,387,666","3,452,985"
Prince George + Hopewell,"3,862,732","3,898,553","3,852,553","3,799,065"
"Prince William, Manassas + Manassas Park","21,798,355","21,565,436","22,278,610","22,585,884"
Roanoke + Salem,"6,076,687","5,868,411","6,143,624","6,189,165"
"Rockbridge, Buena Vista + Lexington","1,285,745","1,207,472","1,226,764","1,269,066"
Rockingham + Harrisonburg,"7,984,577","7,590,097","8,204,969","8,693,159"
Southampton + Franklin,"811,748","743,804","794,928","802,221"
Spotsylvania + Fredericksburg,"6,392,115","6,383,365","6,796,218","6,996,859"
Washington + Bristol,"3,477,367","3,452,419","3,577,262","3,683,432"
Wise + Norton,"1,454,597","1,422,293","1,494,787","1,602,095"
York + Poquoson,"2,878,277","2,639,054","2,798,047","2,853,838"
,,,,
Washington,"588,930,437","590,401,007","630,819,770","641,143,568"
Adams,"879,537","903,697","848,784","993,916"
Asotin,"652,902","657,568","690,061","684,569"
Benton,"11,879,894","11,478,886","12,089,828","12,003,056"
Chelan,"4,632,063","4,540,557","4,813,217","4,899,098"
Clallam,"2,560,039","2,501,467","2,698,536","2,669,936"
Clark,"22,133,779","22,164,411","24,490,108","24,511,742"
Columbia,"345,341","333,032","337,883","345,160"
Cowlitz,"5,231,999","5,302,398","5,473,446","5,449,102"
Douglas,"1,851,350","1,866,829","1,857,454","1,905,866"
Ferry,"171,981","190,828","189,452","184,698"
Franklin,"3,865,768","3,925,358","4,104,087","4,203,214"
Garfield,"160,888","173,024","161,627","181,443"
Grant,"5,674,582","5,762,071","5,680,025","5,810,498"
Grays Harbor,"2,566,512","2,430,348","2,651,045","2,644,418"
Island,"3,267,413","3,307,517","3,542,711","3,442,637"
Jefferson,"1,117,262","1,079,300","1,144,422","1,161,813"
King,"321,283,723","329,239,691","357,017,192","367,176,011"
Kitsap,"12,396,819","12,734,085","13,081,004","13,211,612"
Kittitas,"1,781,192","1,812,988","1,895,579","1,874,167"
Klickitat,"1,730,690","1,588,044","1,658,608","1,636,567"
Lewis,"3,505,738","3,423,053","3,478,052","3,576,678"
Lincoln,"442,553","489,660","483,398","520,372"
Mason,"1,637,065","1,587,194","1,676,333","1,683,356"
Okanogan,"1,404,083","1,464,428","1,490,821","1,411,887"
Pacific,"731,643","727,340","757,522","742,289"
Pend Oreille,"568,598","486,306","486,230","522,873"
Pierce,"44,500,344","44,792,744","47,245,996","47,097,871"
San Juan,"782,271","775,348","867,694","892,560"
Skagit,"6,669,840","6,679,499","6,730,598","6,468,582"
Skamania,"269,001","270,333","296,044","305,994"
Snohomish,"52,258,308","45,864,728","47,607,563","48,304,328"
Spokane,"26,427,703","26,628,547","28,849,199","28,861,522"
Stevens,"1,094,466","1,087,448","1,146,544","1,150,506"
Thurston,"14,060,838","13,747,480","14,725,118","15,179,737"
Wahkiakum,"92,005","99,504","98,215","102,526"
Walla Walla,"3,469,095","3,238,194","3,305,840","3,417,318"
Whatcom,"13,655,023","14,158,405","14,284,199","13,584,365"
Whitman,"2,596,355","2,593,106","2,614,265","2,691,438"
Yakima,"10,696,037","10,523,373","10,676,322","10,476,526"
,,,,
West Virginia,"76,786,612","73,952,876","75,520,537","76,525,538"
Barbour,"396,236","381,116","383,938","477,730"
Berkeley,"4,047,777","3,981,076","4,149,768","4,075,738"
Boone,"640,475","576,144","587,576","653,743"
Braxton,"323,758","320,204","301,722","293,222"
Brooke,"937,818","950,274","981,909","836,967"
Cabell,"4,989,208","4,771,531","4,855,011","4,988,932"
Calhoun,"117,527","113,046","117,640","110,526"
Clay,"126,812","120,464","124,188","117,029"
Doddridge,"640,961","724,800","588,940","500,087"
Fayette,"1,089,244","984,893","1,007,469","1,107,199"
Gilmer,"178,005","177,620","175,054","166,408"
Grant,"441,218","465,939","460,276","445,441"
Greenbrier,"1,193,985","1,147,456","1,153,527","1,115,659"
Hampshire,"447,053","442,429","450,068","457,427"
Hancock,"1,045,699","997,805","955,697","964,192"
Hardy,"565,412","560,423","614,500","631,107"
Harrison,"4,442,523","4,272,559","4,343,812","4,333,795"
Jackson,"995,296","902,083","802,342","795,376"
Jefferson,"1,844,908","1,749,447","1,883,138","1,862,402"
Kanawha,"10,852,764","10,235,639","10,632,536","10,762,317"
Lewis,"699,520","556,563","535,727","520,858"
Lincoln,"250,201","229,712","245,155","235,828"
Logan,"1,286,797","1,116,705","1,212,817","1,397,203"
McDowell,"570,664","521,347","489,989","531,552"
Marion,"2,299,842","1,945,613","2,033,784","2,168,076"
Marshall,"2,635,713","2,528,704","2,508,763","2,593,250"
Mason,"802,584","762,840","777,909","693,364"
Mercer,"1,734,188","1,638,973","1,680,730","1,700,038"
Mineral,"800,726","876,934","916,583","958,033"
Mingo,"659,924","493,891","438,291","520,422"
Monongalia,"6,897,980","6,849,447","7,145,092","7,181,398"
Monroe,"190,989","202,336","211,059","211,057"
Morgan,"352,562","328,092","340,749","333,730"
Nicholas,"638,608","636,189","617,665","640,028"
Ohio,"3,704,214","3,433,940","3,473,649","3,589,091"
Pendleton,"150,538","145,515","157,421","184,863"
Pleasants,"482,830","468,312","517,629","551,594"
Pocahontas,"276,749","279,695","275,643","266,493"
Preston,"763,634","744,557","774,182","747,062"
Putnam,"2,930,986","2,815,268","2,817,163","2,900,856"
Raleigh,"3,095,818","2,933,349","3,016,084","3,130,413"
Randolph,"932,430","893,456","879,749","844,922"
Ritchie,"645,875","687,729","612,218","550,187"
Roane,"303,855","299,404","289,114","285,428"
Summers,"213,575","213,169","210,441","210,793"
Taylor,"522,138","561,456","532,027","590,102"
Tucker,"310,297","308,129","297,823","328,967"
Tyler,"756,147","1,038,468","1,158,360","1,036,490"
Upshur,"740,446","710,665","712,245","689,916"
Wayne,"1,031,292","950,520","969,146","989,347"
Webster,"158,131","152,617","140,546","137,784"
