city,population,2020,2021,2022,2023
"Lawrence city, Kansas","94,928","94,931","95,386","95,831","96,207"
"Orem city, Utah","98,137","98,432","98,192","95,990","95,519"
"Mount Pleasant town, South Carolina","90,966","91,225","92,955","94,643","95,232"
"Asheville city, North Carolina","94,763","94,575","94,388","94,015","95,056"
"Reading city, Pennsylvania","95,098","94,977","94,943","94,847","94,903"
"Bellingham city, Washington","91,481","91,871","90,202","93,942","94,720"
"San Marcos city, California","94,861","94,849","93,263","93,895","94,188"
"O'Fallon city, Missouri","91,332","91,621","93,694","93,649","94,074"
"Fall River city, Massachusetts","93,984","93,940","93,936","93,636","93,840"
"Merced city, California","86,369","86,893","89,954","92,088","93,692"
"Avondale city, Arizona","89,343","89,568","90,492","91,582","93,545"
"Chino city, California","91,389","91,038","91,632","93,055","93,114"
"Temple city, Texas","82,073","82,652","85,614","89,528","93,095"
"Indio city, California","89,127","89,320","90,717","91,672","93,057"
"Erie city, Pennsylvania","94,852","94,713","94,141","93,595","92,957"
"Redding city, California","93,603","93,510","93,556","92,959","92,727"
"Norwalk city, Connecticut","91,188","90,891","91,440","91,390","92,458"
"Hoover city, Alabama","92,624","92,738","92,646","92,406","92,448"
"Hemet city, California","89,818","89,881","90,708","91,288","92,368"
"Livonia city, Michigan","95,529","95,240","94,325","93,057","92,185"
"Sandy city, Utah","97,251","96,925","95,070","92,990","91,943"
"Roswell city, Georgia","92,836","92,944","92,624","92,876","91,706"
"Kirkland city, Washington","92,164","92,739","91,404","90,856","91,194"
"Carson city, California","95,548","95,388","93,218","92,113","91,139"
"Manteca city, California","83,501","84,009","86,393","88,669","91,059"
"Nashua city, New Hampshire","91,334","91,199","91,291","91,333","91,003"
"Compton city, California","95,720","95,394","93,327","91,829","90,986"
"Mission Viejo city, California","93,636","93,457","92,494","91,515","90,624"
"Lawton city, Oklahoma","90,387","90,359","91,158","90,849","90,245"
"Lehi city, Utah","75,912","76,854","79,946","84,378","90,227"
"South Gate city, California","92,727","92,660","91,881","91,055","90,070"
"Greenville city, North Carolina","87,640","87,642","88,390","89,304","90,053"
"Santa Monica city, California","93,074","92,913","91,311","90,216","89,922"
"Fort Smith city, Arkansas","89,141","89,153","89,500","90,080","89,770"
"Trenton city, New Jersey","90,858","90,592","90,053","89,535","89,620"
"Bryan city, Texas","83,967","84,334","85,262","87,830","89,615"
"Champaign city, Illinois","88,297","88,368","89,293","89,082","89,189"
"Santa Fe city, New Mexico","87,505","87,729","88,300","89,056","89,167"
"North Port city, Florida","74,799","75,493","79,798","85,098","88,934"
"Westminster city, California","90,919","90,871","90,297","89,497","88,729"
"Franklin city, Tennessee","83,548","84,154","85,965","87,421","88,558"
"Clifton city, New Jersey","90,314","90,019","89,480","88,646","88,461"
"Newton city, Massachusetts","88,950","88,863","88,074","87,852","88,415"
"Springdale city, Arkansas","87,320","87,322","87,692","87,802","88,224"
"Lawrence city, Massachusetts","89,149","88,877","88,441","87,946","88,172"
"Duluth city, Minnesota","86,721","86,722","86,586","86,627","87,680"
"Waukegan city, Illinois","89,312","89,119","88,732","88,073","87,642"
"Bloomington city, Minnesota","89,981","89,850","89,449","87,762","87,398"
"Troy city, Michigan","87,297","87,093","87,662","87,304","87,339"
"Deerfield Beach city, Florida","86,850","86,764","86,497","86,750","87,325"
"Mission city, Texas","85,786","85,853","86,103","86,621","87,292"
"Ogden city, Utah","87,344","87,297","86,633","86,804","87,267"
"Melbourne city, Florida","84,714","85,066","86,038","86,548","86,960"
"Santa Barbara city, California","88,801","88,762","88,250","87,316","86,499"
"Citrus Heights city, California","87,578","87,544","87,244","86,527","86,239"
"Danbury city, Connecticut","86,511","85,732","86,599","86,433","86,124"
"Lake Forest city, California","85,868","85,927","85,970","85,923","85,840"
"Frederick city, Maryland","78,190","78,360","79,962","82,292","85,793"
"San Leandro city, California","90,999","90,724","88,373","86,521","85,784"
"Sioux City city, Iowa","85,784","85,776","85,784","85,402","85,727"
"Kennewick city, Washington","83,927","83,984","84,703","84,787","85,158"
"Medford city, Oregon","85,988","86,110","86,790","85,708","85,098"
"San Ramon city, California","86,331","86,377","86,249","85,490","84,929"
"Folsom city, California","80,462","80,804","81,689","83,241","84,782"
